"Sample_ID","Species_Name","Scientific_Name","PacFIN_Species_Code","RecFIN_Species_Code","Year","Project_ID","Capture_Date","CRFS_District","Port","Vessel","CDFW_Vessel_Number","Institution","Fork_Length_mm","Sex","Maturity","Comments"
"202310-1012-39022-GSPT-432","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-29,"District 2 - Channel","Santa Barbara","Stardust","39022","UCSB",304,"F","1",NA
"202310-1012-28054-GSPT-760","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-27,"District 2 - Channel","Channel Islands","Mirage","28054","SIO",358,"F","1","STAGE 6"
"202307-1012-73873-GSPT-21","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-07-03,"District 3 - Central","Moss Landing","Last Meal","73873","MLML",331,"F","1",NA
"202410-1012-06810-GSPT-735","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-04,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","BML",240,"F","0",NA
"202309-1012-05978-GSPT-677","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-09-23,"District 5 - Wine","Shelter Cove","Sea Hawk","05978","SIO",365,"M","1",NA
"202410-1012-28054-GSPT-764","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-25,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",332,"M","1",NA
"202411-1012-33680-GSPT-303","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-11-17,"District 3 - Central","Morro Bay","Fiesta","33680","CP",274,"F","1",NA
"202412-1012-12758-GSPT-886","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-19,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",350,"M","1",NA
"202310-1012-12758-GSPT-394","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-26,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",284,"F","1",NA
"202412-1012-16699-GSPT-270","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-06,"District 1 - South","Long Beach","Eldorado","16699","NMFS",280,"F","1","STAGE 7"
"202306-1012-03233-GSPT-27","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-06-23,"District 1 - South","San Diego","Premier","03233","SIO",315,"F","1","Resting"
"202405-1012-28054-GSPT-195","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-05-31,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",344,"M","1",NA
"202412-1012-12758-GSPT-887","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-20,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",257,"M","0",NA
"202311-1012-12758-GSPT-553","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-12-15,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",320,"F","1",NA
"202411-1012-33680-GSPT-302","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-11-17,"District 3 - Central","Morro Bay","Fiesta","33680","CP",288,"F","1",NA
"202310-1012-12758-GSPT-395","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-26,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",331,"M","1",NA
"202412-1012-28054-GSPT-474","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-15,"District 2 - Channel","Channel Islands","Mirage","28054","NMFS",410,"M","1","RIPE"
