"Species_Name","Scientific_Name","District 1","District 2","District 3","District 4","District 5","District 6","Total"
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",22,681,667,632,638,244,2884
"Bank Rockfish","Sebastes rufus",115,13,3,0,0,0,131
"Bocaccio","Sebastes paucispinis",6,2,3,2,0,4,17
"Black Rockfish","Sebastes melanops",0,1,59,235,411,941,1647
"Blackgill Rockfish","Sebastes melanostomus",0,0,17,0,0,0,17
"Brown Rockfish","Sebastes auriculatus",42,92,124,478,62,44,842
"Black and Yellow Rockfish","Sebastes chrysomelas",1,0,6,0,0,2,9
"Cabezon","Scorpaenichthys marmoratus",0,0,1,0,2,1,4
"China Rockfish","Sebastes nebulosus",1,0,30,67,184,27,309
"Calico Rockfish","Sebastes dalli",38,0,0,0,0,0,38
"Chilipepper","Sebastes goodei",243,47,46,47,4,0,387
"Canary Rockfish","Sebastes pinniger",0,16,222,118,539,344,1239
"Copper Rockfish","Sebastes caurinus",112,982,234,166,103,77,1674
"Flag Rockfish","Sebastes rubrivinctus",43,54,11,1,0,0,109
"Greenblotched Rockfish","Sebastes rosenblatti",38,132,1,0,2,0,173
"Gopher Rockfish","Sebastes carnatus",14,79,316,158,81,3,651
"Grass Rockfish","Sebastes rastrelliger",0,0,0,1,0,0,1
"Greenspotted Rockfish","Sebastes chlorostictus",229,567,167,56,48,0,1067
"Greenstriped Rockfish","Sebastes elongatus",178,298,53,0,35,1,565
"Halfbanded Rockfish","Sebastes semicinctus",10,6,0,0,0,0,16
"Honeycomb Rockfish","Sebastes umbrosus",102,4,0,0,0,0,106
"Kelp Greenling","Hexagrammos decagrammus",0,0,0,0,2,3,5
"Kelp Rockfish","Sebastes atrovirens",3,1,8,0,0,0,12
"Lingcod","Ophiodon elongatus",0,1,2,0,0,0,3
"Mexican Rockfish","Sebastes macdonaldi",247,14,0,0,0,0,261
"Olive Rockfish","Sebastes serranoides",38,64,120,28,46,4,300
"Pinkrose Rockfish","Sebastes simulator",4,0,0,0,0,0,4
"Quillback Rockfish","Sebastes maliger",0,0,0,133,1,1,135
"Redstripe Rockfish","Sebastes proriger",4,0,0,0,0,0,4
"Rockfish Genus","Sebastes",2,2,0,0,0,0,4
"Rosy Rockfish","Sebastes rosaceus",73,66,56,8,62,0,265
"California Scorpionfish","Scorpaena guttata",738,4,0,0,0,0,742
"Splitnose Rockfish","Sebastes diploproa",0,0,1,0,0,0,1
"Speckled Rockfish","Sebastes ovalis",179,61,2,2,1,0,245
"Squarespot Rockfish","Sebastes hopkinsi",197,31,0,0,0,0,228
"Starry Rockfish","Sebastes constellatus",339,285,95,16,8,0,743
"Swordspine Rockfish","Sebastes ensifer",56,5,0,0,0,0,61
"Tiger Rockfish","Sebastes nigrocinctus",0,0,0,0,4,2,6
"Treefish","Sebastes serriceps",18,20,23,2,0,0,63
"Vermilion/Sunset Rockfish","Sebastes miniatus",898,766,341,102,178,77,2362
"Widow Rockfish","Sebastes entomelas",2,69,23,3,47,3,147
"Yellowtail Rockfish","Sebastes flavidus",0,28,168,265,542,147,1150
