"Year","Species_Name","Scientific_Name","CRFS_District","n_fish"
2022,"Vermilion/Sunset Rockfish","Sebastes caurinus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes maliger","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes miniatus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes mystinus/diaconus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes rufus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes paucispinis","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes melanops","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes auriculatus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes chrysomelas","District 1",0
2022,"Vermilion/Sunset Rockfish","Scorpaenichthys marmoratus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes nebulosus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes dalli","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes goodei","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes pinniger","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes rubrivinctus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes rosenblatti","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes carnatus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes chlorostictus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes elongatus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes semicinctus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes umbrosus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes atrovirens","District 1",0
2022,"Vermilion/Sunset Rockfish","Ophiodon elongatus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes macdonaldi","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes serranoides","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes simulator","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes rosaceus","District 1",0
2022,"Vermilion/Sunset Rockfish","Scorpaena guttata","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes ovalis","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes hopkinsi","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes constellatus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes ensifer","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes serriceps","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes entomelas","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes flavidus","District 1",0
2022,"Vermilion/Sunset Rockfish","Hexagrammos decagrammus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes nigrocinctus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes melanostomus","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes rastrelliger","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes proriger","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes diploproa","District 1",0
2022,"Vermilion/Sunset Rockfish","Sebastes caurinus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes maliger","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes miniatus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes mystinus/diaconus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes rufus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes paucispinis","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes melanops","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes auriculatus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes chrysomelas","District 2",0
2022,"Vermilion/Sunset Rockfish","Scorpaenichthys marmoratus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes nebulosus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes dalli","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes goodei","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes pinniger","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes rubrivinctus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes rosenblatti","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes carnatus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes chlorostictus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes elongatus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes semicinctus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes umbrosus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes atrovirens","District 2",0
2022,"Vermilion/Sunset Rockfish","Ophiodon elongatus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes macdonaldi","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes serranoides","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes simulator","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes rosaceus","District 2",0
2022,"Vermilion/Sunset Rockfish","Scorpaena guttata","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes ovalis","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes hopkinsi","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes constellatus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes ensifer","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes serriceps","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes entomelas","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes flavidus","District 2",0
2022,"Vermilion/Sunset Rockfish","Hexagrammos decagrammus","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes","District 2",0
2022,"Vermilion/Sunset Rockfish","Sebastes nigrocinctus","District 2",0
