"Species_Name","Scientific_Name","District 1_2022","District 2_2022","District 3_2022","District 4_2022","District 1_2023","District 2_2023","District 3_2023","District 4_2023","District 5_2023","District 6_2023","District 1_2024","District 2_2024","District 3_2024","District 4_2024","District 5_2024","District 6_2024","District 1_2025","District 2_2025","District 3_2025","District 4_2025","District 5_2025","District 6_2025","Total"
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,581
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,545
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,540
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,498
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,485
"California Scorpionfish","Scorpaena guttata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,478
"Copper Rockfish","Sebastes caurinus",0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,410
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,321
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,299
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,299
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,295
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,272
"Chilipepper","Sebastes goodei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,243
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,243
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,230
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,224
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,219
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,197
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,193
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,190
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,178
"California Scorpionfish","Scorpaena guttata",0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,175
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,173
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,168
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,166
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,165
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,160
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,159
"Squarespot Rockfish","Sebastes hopkinsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,159
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,154
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,150
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,147
"Copper Rockfish","Sebastes caurinus",0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,142
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,139
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
"Quillback Rockfish","Sebastes maliger",0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,131
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,131
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,131
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,130
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,130
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,128
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,117
"Mexican Rockfish","Sebastes macdonaldi",0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,116
"China Rockfish","Sebastes nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,114
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,113
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,111
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,109
"Copper Rockfish","Sebastes caurinus",0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,107
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,104
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
