"Species_Name","Scientific_Name","Sausalito_2022","Emeryville_2022","Santa Cruz_2022","Santa Barbara_2022","Channel Islands_2022","San Pedro_2022","Eureka_2023","Shelter Cove_2023","Fort Bragg_2023","Bodega Bay_2023","Emeryville_2023","Pillar Point_2023","Moss Landing_2023","Morro Bay_2023","Avila Beach_2023","Santa Barbara_2023","Channel Islands_2023","Marina Del Rey_2023","Long Beach_2023","Dana Point_2023","San Diego_2023","Crescent City_2024","Eureka_2024","Shelter Cove_2024","Fort Bragg_2024","San Francisco_2024","Emeryville_2024","Pillar Point_2024","Santa Cruz_2024","Moss Landing_2024","Morro Bay_2024","Avila Beach_2024","Santa Barbara_2024","Channel Islands_2024","Marina Del Rey_2024","Long Beach_2024","Newport_2024","Dana Point_2024","Mission Bay_2024","Seaforth_2024","San Diego_2024","Crescent City_2025","Eureka_2025","Shelter Cove_2025","Fort Bragg_2025","Bodega Bay_2025","Emeryville_2025","Pillar Point_2025","Santa Cruz_2025","Moss Landing_2025","Morro Bay_2025","Avila Beach_2025","Santa Barbara_2025","Ventura_2025","Channel Islands_2025","Marina Del Rey_2025","Long Beach_2025","Newport_2025","Dana Point_2025","San Diego_2025","UNKNOWN_2025","Total"
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,7,0,38,1,0,0,0,13,38,84,51,0,0,0,1,87,8,62,128,0,12,38,9,79,37,6,30,18,3,5,0,0,0,0,0,106,36,161,249,319,33,229,88,211,183,3,298,146,54,6,5,1,1,0,0,2884
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,6,79,18,3,0,0,34,8,3,140,88,20,18,26,22,20,10,13,34,5,11,2,4,28,76,23,164,79,71,70,19,42,26,19,25,21,21,6,28,12,13,56,56,68,37,4,128,141,25,151,56,170,61,102,0,2362
"Copper Rockfish","Sebastes caurinus",7,100,144,307,151,53,1,0,25,2,25,0,5,2,0,78,114,0,0,1,3,10,15,7,37,2,9,1,0,8,13,8,67,87,3,14,0,0,3,0,1,10,41,9,25,3,9,8,2,41,11,0,55,64,59,9,8,6,8,3,2,1676
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,75,55,0,0,10,0,0,0,0,0,0,0,0,0,0,193,128,102,57,9,75,10,0,5,0,0,0,0,0,0,0,0,0,0,0,226,319,113,84,74,43,14,41,13,0,0,0,1,0,0,0,0,0,0,0,1647
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,109,5,69,6,25,0,68,2,0,3,0,0,0,0,0,44,95,7,292,0,2,6,0,30,5,1,2,1,0,0,0,0,0,0,0,35,61,7,159,24,14,41,42,73,1,0,1,8,1,0,0,0,0,0,0,1239
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,107,97,127,0,25,25,38,0,7,0,0,0,0,0,0,0,29,40,128,3,13,26,0,13,10,4,6,3,0,0,0,0,0,0,0,3,8,32,118,42,83,48,56,30,7,3,16,3,0,0,0,0,0,0,0,1150
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,8,7,0,15,25,70,1,0,84,34,1,7,0,23,0,0,0,32,0,0,0,10,18,9,0,122,97,18,25,0,3,4,0,1,0,0,0,1,6,10,0,34,25,0,0,59,66,105,29,46,66,6,0,0,1067
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,3,0,0,37,25,0,1,0,4,25,0,0,0,0,18,24,10,14,3,23,66,28,0,3,0,5,23,0,3,0,0,0,0,0,1,4,3,44,1,27,91,181,26,85,0,0,41,3,0,1,0,0,0,19,0,842
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,0,0,2,0,0,8,0,13,6,5,43,18,0,13,0,3,0,0,1,2,0,0,0,1,2,24,1,28,68,17,154,5,4,6,3,4,0,0,0,3,0,8,0,0,21,21,1,22,46,60,26,38,42,20,4,0,743
"California Scorpionfish","Scorpaena guttata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,148,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,268,0,208,1,1,0,742
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,25,0,0,22,21,33,0,0,0,0,4,3,0,1,33,6,27,30,1,67,74,18,26,0,1,2,0,0,0,0,1,0,0,0,47,11,21,38,4,107,2,0,16,4,0,0,0,0,0,6,0,651
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,0,0,6,0,0,0,22,1,0,64,0,20,1,0,25,0,0,0,17,0,0,0,0,2,2,0,126,4,56,14,0,3,1,2,11,0,1,0,12,0,0,0,19,7,0,0,74,12,18,20,6,7,3,9,0,565
"Chilipepper","Sebastes goodei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,30,35,10,1,0,30,13,0,116,6,6,68,47,0,387
"China Rockfish","Sebastes nebulosus",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,20,48,2,8,9,0,5,2,0,0,0,0,0,0,0,0,0,0,8,9,17,97,6,16,25,1,22,0,0,0,0,0,1,0,0,0,0,0,309
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,36,0,0,0,3,0,0,15,5,0,0,1,0,5,6,0,6,1,1,17,0,0,0,0,2,2,3,11,15,10,6,11,3,76,20,1,12,8,0,0,3,1,10,1,0,300
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,4,0,1,0,0,0,16,0,0,5,1,1,29,4,6,0,12,5,8,1,0,0,3,0,0,0,46,0,0,3,6,3,7,0,21,33,5,11,13,7,3,5,0,265
"Mexican Rockfish","Sebastes macdonaldi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,6,0,92,0,0,0,0,0,0,0,0,0,0,0,1,0,28,1,2,1,0,1,17,0,0,0,0,0,0,0,0,0,0,0,5,7,0,16,0,0,22,42,0,261
