"Species_Name","Scientific_Name","District 1_2022","District 2_2022","District 3_2022","District 4_2022","District 1_2023","District 2_2023","District 3_2023","District 4_2023","District 5_2023","District 6_2023","District 1_2024","District 2_2024","District 3_2024","District 4_2024","District 5_2024","District 6_2024","District 1_2025","District 2_2025","District 3_2025","District 4_2025","District 5_2025","District 6_2025","Total"
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,1,135,51,1,38,7,8,48,131,50,190,95,13,498,485,581,410,142,2884
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,86,228,45,3,97,6,272,243,131,18,47,30,540,295,165,81,34,41,2362
"Copper Rockfish","Sebastes caurinus",53,458,144,107,4,192,7,27,25,1,21,154,29,12,44,25,34,178,54,20,34,51,1674
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,10,55,75,0,0,5,94,159,321,0,1,54,131,197,545,1647
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,3,70,31,74,109,0,3,36,8,299,139,0,10,116,79,166,96,1239
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,45,50,224,107,0,9,27,42,168,29,0,19,96,173,150,11,1150
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,31,118,71,40,15,0,51,219,37,0,32,0,147,230,59,16,1,0,1067
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,18,25,5,62,0,3,4,23,8,117,17,34,20,44,111,299,45,7,842
"Starry Rockfish","Sebastes constellatus",0,0,0,0,16,61,24,8,2,0,193,96,28,0,3,0,130,128,43,8,3,0,743
"California Scorpionfish","Scorpaena guttata",0,0,0,0,85,0,0,0,0,0,175,0,0,0,0,0,478,4,0,0,0,0,742
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,4,33,43,25,0,0,4,26,160,63,34,3,6,20,113,70,47,0,651
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,46,64,23,0,6,0,87,130,4,0,17,0,45,104,26,0,12,1,565
"Chilipepper","Sebastes goodei",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,243,43,46,47,4,0,387
"China Rockfish","Sebastes nebulosus",0,0,0,0,0,0,0,1,2,0,0,0,7,19,68,10,1,0,23,47,114,17,309
"Olive Rockfish","Sebastes serranoides",0,0,0,0,3,36,9,0,0,0,20,7,11,1,20,0,15,21,100,27,26,4,300
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,5,1,5,0,0,0,29,6,35,5,16,0,39,59,16,3,46,0,265
