"Species_Name","Scientific_Name","2023","2024","2025","2022","Total"
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",233,522,2129,0,2884
"Vermilion/Sunset Rockfish","Sebastes miniatus",465,741,1156,0,2362
"Copper Rockfish","Sebastes caurinus",256,285,373,762,1676
"Black Rockfish","Sebastes melanops",140,579,928,0,1647
"Canary Rockfish","Sebastes pinniger",287,485,467,0,1239
"Yellowtail Rockfish","Sebastes flavidus",426,275,449,0,1150
"Greenspotted Rockfish","Sebastes chlorostictus",275,339,453,0,1067
"Brown Rockfish","Sebastes auriculatus",113,203,526,0,842
"Starry Rockfish","Sebastes constellatus",111,320,312,0,743
"California Scorpionfish","Scorpaena guttata",85,175,482,0,742
"Gopher Rockfish","Sebastes carnatus",105,290,256,0,651
"Greenstriped Rockfish","Sebastes elongatus",139,238,188,0,565
"Chilipepper","Sebastes goodei",4,0,383,0,387
"China Rockfish","Sebastes nebulosus",3,104,202,0,309
"Olive Rockfish","Sebastes serranoides",48,59,193,0,300
"Rosy Rockfish","Sebastes rosaceus",11,91,163,0,265
"Mexican Rockfish","Sebastes macdonaldi",118,51,92,0,261
"Speckled Rockfish","Sebastes ovalis",84,43,118,0,245
"Squarespot Rockfish","Sebastes hopkinsi",2,39,187,0,228
"Greenblotched Rockfish","Sebastes rosenblatti",88,35,50,0,173
"Widow Rockfish","Sebastes entomelas",12,28,107,0,147
"Quillback Rockfish","Sebastes maliger",2,0,0,133,135
"Bank Rockfish","Sebastes rufus",15,12,104,0,131
"Flag Rockfish","Sebastes rubrivinctus",20,27,62,0,109
"Honeycomb Rockfish","Sebastes umbrosus",8,45,53,0,106
"Treefish","Sebastes serriceps",23,16,24,0,63
"Swordspine Rockfish","Sebastes ensifer",4,16,41,0,61
"Calico Rockfish","Sebastes dalli",4,4,30,0,38
"Blackgill Rockfish","Sebastes melanostomus",0,0,17,0,17
"Bocaccio","Sebastes paucispinis",1,2,14,0,17
"Halfbanded Rockfish","Sebastes semicinctus",1,3,12,0,16
"Kelp Rockfish","Sebastes atrovirens",2,8,2,0,12
"Black and Yellow Rockfish","Sebastes chrysomelas",2,3,4,0,9
"Tiger Rockfish","Sebastes nigrocinctus",0,4,2,0,6
"Kelp Greenling","Hexagrammos decagrammus",0,1,4,0,5
"Cabezon","Scorpaenichthys marmoratus",1,2,1,0,4
"Rockfish Genus","Sebastes",0,2,2,0,4
"Redstripe Rockfish","Sebastes proriger",0,0,4,0,4
"Pinkrose Rockfish","Sebastes simulator",1,1,2,0,4
"Lingcod","Ophiodon elongatus",1,0,2,0,3
"Splitnose Rockfish","Sebastes diploproa",0,0,1,0,1
"Grass Rockfish","Sebastes rastrelliger",0,0,1,0,1
"Coastwide Total","",3090,5048,9596,895,18629
